lr_fpr,lr_tpr,xgb_fpr,xgb_tpr
0.0006826097051311818,0.0021224307417336908,0.00037613187833759,0.0033139708072683943
0.0006965405154399814,0.0021224307417336908,0.0003807754817738565,0.0033139708072683943
0.0006965405154399814,0.0021596663687816504,0.0003807754817738565,0.003332588620792374
0.0007058277223125145,0.0021596663687816504,0.00038541908521012305,0.003332588620792374
0.0007058277223125145,0.00217828418230563,0.00038541908521012305,0.0033698242478403338
0.0007104713257487811,0.00217828418230563,0.0003947062920826561,0.0033698242478403338
0.0007104713257487811,0.00219690199582961,0.0003947062920826561,0.0034442955019362525
0.0007151149291850476,0.00219690199582961,0.00040399349895518924,0.0034442955019362525
0.0007151149291850476,0.0022155198093535894,0.00040399349895518924,0.003500148942508192
0.0007197585326213142,0.0022155198093535894,0.0004132807058277223,0.003500148942508192
0.0007197585326213142,0.0022899910634495086,0.0004132807058277223,0.0035187667560321718
0.0007336893429301138,0.0022899910634495086,0.00041792430926398884,0.0035187667560321718
0.0007336893429301138,0.0023458445040214475,0.00041792430926398884,0.003537384569556151
0.0007383329463663803,0.0023458445040214475,0.00042721151613652196,0.003537384569556151
0.0007383329463663803,0.002401697944593387,0.00042721151613652196,0.003556002383080131
0.0007429765498026469,0.002401697944593387,0.0004318551195727885,0.003556002383080131
0.0007429765498026469,0.0024203157581173668,0.0004318551195727885,0.0035746201966041107
0.0007476201532389134,0.0024203157581173668,0.00043649872300905503,0.0035746201966041107
0.0007476201532389134,0.0024389335716413466,0.00043649872300905503,0.00363047363717605
0.0007894125841653122,0.0024389335716413466,0.0004457859298815881,0.00363047363717605
0.0007894125841653122,0.0024575513851653264,0.0004457859298815881,0.0037421805183199285
0.0007940561876015788,0.0024575513851653264,0.00045042953331785463,0.0037421805183199285
0.0007940561876015788,0.0025692582663092048,0.00045042953331785463,0.003835269585939827
0.0008033433944741119,0.0025692582663092048,0.00045971674019038776,0.003835269585939827
0.0008033433944741119,0.0025878760798331846,0.00045971674019038776,0.003853887399463807
0.0008172742047829115,0.0025878760798331846,0.0004690039470629208,0.003853887399463807
0.0008172742047829115,0.002606493893357164,0.0004690039470629208,0.0038911230265117665
0.0008219178082191781,0.002606493893357164,0.0004782911539354539,0.0038911230265117665
0.0008219178082191781,0.0026251117068811437,0.0004782911539354539,0.003928358653559726
0.0008729974460181101,0.0026251117068811437,0.000487578360807987,0.003928358653559726
0.0008729974460181101,0.0026623473339291034,0.000487578360807987,0.004040065534703604
0.0008776410494543765,0.0026623473339291034,0.0004922219642442535,0.004040065534703604
0.0008776410494543765,0.002699582960977063,0.0004922219642442535,0.004114536788799523
0.0008822846528906431,0.002699582960977063,0.0004968655676805201,0.004114536788799523
0.0008822846528906431,0.0027182007745010428,0.0004968655676805201,0.004133154602323503
0.0008869282563269097,0.0027182007745010428,0.0005061527745530532,0.004133154602323503
0.0008869282563269097,0.002755436401549002,0.0005061527745530532,0.004170390229371462
0.0008915718597631762,0.002755436401549002,0.0005107963779893197,0.004170390229371462
0.0008915718597631762,0.0027926720285969616,0.0005107963779893197,0.004207625856419422
